Date:, 200308
Serial number:, 0041
Data Source:, simulation
Circuit type:, -Rs-(RQ)-(RQ)-
Circuit elements: , [Rs=150 ohm R1=278.94736842105266 ohm Q1=0.001                         [s^(alpha-1)/ohm] alpha_1=0.875 R2=100 ohm Q2=0.001                         [s^(alpha-1)/ohm] alpha_2=0.85]
---
,freq [Hz],angular_freq [1/s],Re_Z [ohm],Im_Z [ohm],|Z| [ohm],phase_angle [rad]
0,100000000.0,628318530.7179586,150.00077977415927,-0.0032509010180842117,150.00077980938696,-2.1672560785815752e-05
1,71626291.1569279,450041260.2049765,150.00103560334577,-0.004317297106931161,150.0010356654755,-2.8781781994861956e-05
2,51303255.84896997,322347863.3607233,150.0013753843972,-0.005733497003995623,150.0013754939728,-3.822296286624453e-05
3,36746619.40736688,230885819.1488878,150.0018266810186,-0.007614238407527107,150.00182687427167,-5.076097117923173e-05
4,26320240.607048776,165374949.0636404,150.00242611775823,-0.010111888382936014,150.002426458587,-6.74114987958966e-05
5,18852212.170408722,118451942.51694426,150.00322236682635,-0.01342878014233334,150.00322296792055,-8.952327753079349e-05
6,13503140.378698722,84842733.2282232,150.004280125805,-0.017833591224977133,150.004281185898,-0.00011888721525812147
7,9671798.642975444,60769703.12754277,150.0056854197747,-0.023683084528764633,150.00568728933214,-0.00015788124473890025
8,6927550.656129393,43527084.4973345,150.00755267725256,-0.031450963827403665,150.00755597429693,-0.00020966253235413595
9,4961947.603002898,31176836.274182778,150.01003418814338,-0.04176616416714859,150.01004000246255,-0.0002784224622970257
10,3554059.0371810608,22330811.523264866,150.0133327714699,-0.05546364836740411,150.01334302461248,-0.0003697247758948875
11,2545640.673860415,15994732.0793585,150.01771878749014,-0.07365176999420106,150.01773686729743,-0.0004909537664745274
12,1823348.0008684385,11456433.368931845,150.02355306311867,-0.09780156261299032,150.02358494192848,-0.0006519079621927291
13,1305996.547906052,8205818.321030567,150.0313179234362,-0.12986501558832786,150.0313741280985,-0.0008655858320280474
14,935436.8899026163,5877523.322429887,150.04165943319038,-0.1724316099411674,150.04175851450685,-0.0011492243866233578
15,670018.750350959,4209851.967739973,150.055445306789,-0.22893524642657126,150.05561994662446,-0.0015256698504344953
16,479909.5809323878,3015360.8276890917,150.07384499677087,-0.3039273494450946,150.07415275106018,-0.002025182562264036
17,343741.43372862396,2159791.1258725356,150.09844163464427,-0.4034365176351101,150.09898381458976,-0.002687806360446845
18,246209.24014946254,1546978.2801989533,150.13139046089339,-0.5354407071356505,150.13234527733218,-0.003566465582441223
19,176350.5472047139,1108043.1671097383,150.17564628123466,-0.7104845157074665,150.17732693131,-0.004730988229754485
20,126313.35639768369,793650.2250184647,150.2352952088338,-0.9424812569340856,150.23825144551276,-0.006273285462565456
21,90473.57242349294,568462.220939339,150.31604659512263,-1.249745938171934,150.32124177539598,-0.008313930359410644
